level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1081	1081	-1	
2	1	1	0	0	0	159	125	105	28	-1	
3	1	1	1	0	0	159	125	105	28	-1	
4	1	1	1	1	0	159	125	105	28	-1	
5	1	1	1	1	1	159	125	105	28	95.236046	LOIRE
2	1	2	0	0	0	615	90	238	61	-1	
3	1	2	1	0	0	615	90	238	61	-1	
4	1	2	1	1	0	615	90	238	61	-1	
5	1	2	1	1	1	615	90	113	61	94.921524	CHAM
5	1	2	1	1	2	734	90	119	28	92.460358	PAGNE
2	1	3	0	0	0	849	212	138	38	-1	
3	1	3	1	0	0	849	212	138	38	-1	
4	1	3	1	1	0	849	212	138	38	-1	
5	1	3	1	1	1	849	212	138	38	96.497566	ALSACE
2	1	4	0	0	0	818	407	245	28	-1	
3	1	4	1	0	0	791	407	272	28	-1	
4	1	4	1	1	0	818	407	245	28	-1	
5	1	4	1	1	1	791	407	272	28	0.000000	BOURGOGNE
2	1	5	0	0	0	46	514	225	58	-1	
3	1	5	1	0	0	46	514	225	58	-1	
4	1	5	1	1	0	46	514	225	58	-1	
5	1	5	1	1	1	46	514	225	58	0.000000	SE
2	1	6	0	0	0	818	534	223	35	-1	
3	1	6	1	0	0	772	534	269	35	-1	
4	1	6	1	1	0	818	534	223	35	-1	
5	1	6	1	1	1	772	534	269	35	0.000000	BEAUJOLAIS
2	1	7	0	0	0	833	639	178	38	-1	
3	1	7	1	0	0	833	639	178	38	-1	
4	1	7	1	1	0	833	639	178	38	-1	
5	1	7	1	1	1	833	639	178	38	0.000000	RHONE
2	1	8	0	0	0	694	786	8	12	-1	
3	1	8	1	0	0	694	786	8	12	-1	
4	1	8	1	1	0	694	786	8	12	-1	
5	1	8	1	1	1	694	786	8	12	0.000000	J
2	1	9	0	0	0	45	774	242	58	-1	
3	1	9	1	0	0	45	774	242	58	-1	
4	1	9	1	1	0	45	774	242	58	-1	
5	1	9	1	1	1	45	774	242	58	0.000000	SUDOUEST
2	1	10	0	0	0	218	876	237	28	-1	
3	1	10	1	0	0	218	876	237	28	-1	
4	1	10	1	1	0	218	876	237	28	-1	
5	1	10	1	1	1	218	876	237	28	96.129631	LANGUEDOC
2	1	11	0	0	0	549	823	194	59	-1	
3	1	11	1	0	0	549	823	194	59	-1	
4	1	11	1	1	0	549	823	194	59	-1	
5	1	11	1	1	1	549	823	194	59	96.209846	PROVENCE
2	1	12	0	0	0	219	918	236	28	-1	
3	1	12	1	0	0	219	918	236	28	-1	
4	1	12	1	1	0	219	918	236	28	-1	
5	1	12	1	1	1	219	918	236	28	96.474892	ROUSSILLON
2	1	13	0	0	0	895	948	142	78	-1	
3	1	13	1	0	0	895	948	142	78	-1	
4	1	13	1	1	0	895	948	142	78	-1	
5	1	13	1	1	1	895	948	71	72	0.000000	F
5	1	13	1	1	2	981	997	56	29	0.000000	K
2	1	14	0	0	0	982	1032	55	10	-1	
3	1	14	1	0	0	982	1032	55	10	-1	
4	1	14	1	1	0	982	1032	55	10	-1	
5	1	14	1	1	1	982	1032	55	10	25.400705	WINES
